timestamp_s,data
1761131640.6859386,4
1761131642.686815,4
1761131644.6866975,4
1761131646.685485,4
1761131648.6858869,4
1761131650.6870227,4
1761131652.7511704,4
1761131654.687171,4
1761131656.7274325,4
1761131663.6860447,3
1761131688.6857398,2
1761131689.186477,4
1761131690.6871653,4
1761131692.6874237,4
1761131694.6859295,4
1761131696.6860127,4
1761131698.7275636,4
1761131700.6859882,4
1761131702.721375,4
1761131704.6854477,4
1761131706.6856172,4
1761131713.6865244,3
1761131738.6866567,2
1761131739.186324,4
1761131740.686403,4
1761131742.685628,4
1761131744.7158291,4
1761131746.6853657,4
1761131748.7118523,4
1761131750.6860569,4
1761131752.6855114,4
